snapshot_index,num_nodes,num_edges,up_target,down_target,up_ratio,down_ratio,connectivity,dataset,dataset_path,snapshot_id,total_snapshots
26,721,397125,315,406,0.4368932038834951,0.5631067961165048,0.76499653259362,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,26,208
27,721,400698,364,357,0.5048543689320388,0.49514563106796117,0.7718793342579751,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,27,208
28,721,396084,667,54,0.9251040221914009,0.07489597780859913,0.7629912159038372,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,28,208
29,721,393297,504,217,0.6990291262135923,0.30097087378640774,0.7576225150254277,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,29,208
30,721,397631,542,179,0.7517337031900139,0.24826629680998613,0.7659712590537833,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,30,208
31,721,392398,382,339,0.5298196948682385,0.47018030513176146,0.7558907381722916,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,31,208
32,721,393959,423,298,0.5866851595006934,0.41331484049930656,0.7588977500385268,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,32,208
33,721,393542,530,191,0.7350901525658807,0.26490984743411927,0.7580944675604869,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,33,208
34,721,395349,508,213,0.7045769764216366,0.29542302357836336,0.7615753582986593,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,34,208
35,721,400073,202,519,0.2801664355062413,0.7198335644937587,0.7706753737093542,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,35,208
36,721,399191,542,179,0.7517337031900139,0.24826629680998613,0.7689763445831407,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,36,208
37,721,391945,378,343,0.5242718446601942,0.47572815533980584,0.7550181075666512,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,37,208
38,721,394746,301,420,0.4174757281553398,0.5825242718446602,0.76041377716135,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,38,208
39,721,391113,480,241,0.665742024965326,0.334257975034674,0.7534153952843273,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,39,208
40,721,389240,439,282,0.608876560332871,0.39112343966712904,0.7498073663122207,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,40,208
41,721,395192,346,375,0.4798890429958391,0.5201109570041609,0.7612729234088458,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,41,208
42,721,392212,57,664,0.07905686546463246,0.9209431345353676,0.7555324395130221,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,42,208
43,721,388924,572,149,0.7933425797503467,0.20665742024965328,0.749198643858838,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,43,208
44,721,391330,250,471,0.34674063800277394,0.653259361997226,0.7538334103868084,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,44,208
45,721,398473,369,352,0.5117891816920943,0.4882108183079057,0.7675932347048852,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,45,208
46,721,395003,214,507,0.29680998613037446,0.7031900138696255,0.7609088457389428,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,46,208
47,721,399700,211,510,0.2926490984743412,0.7073509015256588,0.7699568500539374,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,47,208
48,721,391893,536,185,0.7434119278779473,0.2565880721220527,0.754917938049006,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,48,208
49,721,397617,337,384,0.46740638002773927,0.5325936199722607,0.7659442903374942,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,49,208
50,721,393776,265,456,0.36754507628294036,0.6324549237170596,0.7585452303898906,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,50,208
51,721,394753,273,448,0.3786407766990291,0.6213592233009708,0.7604272615194946,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,51,208
52,721,397106,552,169,0.7656033287101248,0.23439667128987518,0.7649599321929419,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,52,208
53,721,394167,603,118,0.8363384188626907,0.16366158113730933,0.7592984281091077,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,53,208
54,721,390250,226,495,0.31345353675450766,0.6865464632454923,0.7517529665587918,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,54,208
55,721,394287,337,384,0.46740638002773927,0.5325936199722607,0.7595295885344429,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,55,208
56,721,389441,161,560,0.22330097087378642,0.7766990291262136,0.7501945600246571,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,56,208
57,721,392783,415,306,0.5755894590846047,0.4244105409153953,0.756632377870242,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,57,208
58,721,395501,610,111,0.8460471567267683,0.15395284327323167,0.7618681615040839,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,58,208
59,721,396167,586,135,0.812760055478502,0.18723994452149795,0.7631511018646941,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,59,208
60,721,394103,523,198,0.7253814147018031,0.27461858529819694,0.7591751425489289,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,60,208
61,721,391387,301,420,0.4174757281553398,0.5825242718446602,0.7539432115888427,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,61,208
62,721,395865,629,92,0.8723994452149791,0.12760055478502086,0.7625693481276006,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,62,208
63,721,392151,635,86,0.8807212205270458,0.11927877947295418,0.7554149329634766,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,63,208
64,721,393574,209,512,0.289875173370319,0.710124826629681,0.7581561103405764,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,64,208
65,721,400047,257,464,0.3564493758668516,0.6435506241331483,0.7706252889505316,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,65,208
66,721,394389,274,447,0.3800277392510402,0.6199722607489597,0.7597260748959778,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,66,208
67,721,394753,45,676,0.06241331484049931,0.9375866851595007,0.7604272615194946,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,67,208
68,721,400474,177,544,0.24549237170596394,0.7545076282940361,0.7714478347973494,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,68,208
69,721,393476,568,153,0.7877947295423023,0.21220527045769766,0.7579673293265526,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,69,208
70,721,394753,595,126,0.8252427184466019,0.1747572815533981,0.7604272615194946,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,70,208
71,721,394558,670,51,0.9292649098474342,0.07073509015256585,0.7600516258283249,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,71,208
72,721,393943,515,206,0.7142857142857143,0.2857142857142857,0.758866928648482,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,72,208
73,721,395854,302,419,0.4188626907073509,0.5811373092926491,0.7625481584219448,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,73,208
74,721,391662,384,337,0.5325936199722607,0.46740638002773927,0.7544729542302357,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,74,208
75,721,396504,123,598,0.17059639389736478,0.8294036061026352,0.7638002773925104,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,75,208
76,721,391294,422,299,0.5852981969486823,0.41470180305131765,0.7537640622592079,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,76,208
77,721,388696,295,426,0.4091539528432732,0.5908460471567267,0.7487594390507012,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,77,208
78,721,393356,186,535,0.2579750346740638,0.7420249653259362,0.7577361689012174,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,78,208
79,721,390717,209,512,0.289875173370319,0.710124826629681,0.7526525658807213,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,79,208
80,721,395146,562,159,0.7794729542302358,0.22052704576976423,0.7611843119124673,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,80,208
81,721,392883,387,334,0.536754507628294,0.463245492371706,0.7568250115580213,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,81,208
82,721,397505,335,386,0.4646324549237171,0.5353675450762829,0.7657285406071814,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,82,208
83,721,394289,91,630,0.1262135922330097,0.8737864077669903,0.7595334412081984,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,83,208
84,721,392812,442,279,0.6130374479889042,0.38696255201109575,0.756688241639698,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,84,208
85,721,395178,460,261,0.6380027739251041,0.36199722607489593,0.7612459546925566,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,85,208
86,721,391086,473,248,0.6560332871012483,0.3439667128987517,0.7533633841886269,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,86,208
87,721,388834,405,316,0.5617198335644937,0.43828016643550627,0.7490252735398366,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,87,208
88,721,397538,508,213,0.7045769764216366,0.29542302357836336,0.7657921097241486,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,88,208
89,721,395072,648,73,0.8987517337031901,0.10124826629680994,0.7610417629835106,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,89,208
90,721,399676,529,192,0.7337031900138696,0.26629680998613037,0.7699106179688704,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,90,208
91,721,397628,487,234,0.6754507628294036,0.32454923717059636,0.7659654800431499,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,91,208
92,721,391594,446,275,0.6185852981969486,0.38141470180305137,0.7543419633225459,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,92,208
